markname,beta,se,pval,n
c01b000015585s,-0.01847,0.05469,0.7356,1760
c01b000015644s,0.05991,0.07999,0.4539,1886
c01b000015647s,-0.03338,0.03239,0.3029,1846
c01b000015717s,0.05188,0.04484,0.2474,1849
c01b000015721s,0.05601,0.04571,0.2206,1830
c01b000016805s,-0.1176,0.08233,0.1532,1861
c01b000016809s,-0.08138,0.07682,0.2896,1861
c01b000016856s,-0.02787,0.04335,0.5204,1789
c01b000016946s,0.01952,0.04668,0.6758,1857
c01b000016963s,0.01866,0.0722,0.796,1888
c01b000016968s,0.02781,0.05113,0.5866,1880
c01b000016977s,0.02438,0.08572,0.7761,1892
c01b000016993s,0.02668,0.05393,0.6209,1881
c01b000017041s,0.01312,0.08248,0.8736,1891
c01b000017101s,-0.06552,0.06571,0.3189,1795
c01b000017147s,0.002136,0.02893,0.9412,1838
c01b000017181s,-0.03056,0.08732,0.7264,1885
c01b000017375s,0.03569,0.02918,0.2214,1866
c01b000017379s,0.01847,0.02948,0.5311,1866
